"","Software_name","File_name","Article_id","Alias","ID","XML_tag1","XML_tag2","XML_tag1_content","XML_tag2_content","Publication_year","Journal_title","Publisher"
"1","RADMC-3D","aj_139_2_626.xml","aj331880, ANJOAA, 10.1088/0004-6256/139/2/626, 331880","10.1051/0004-6361:20031768",1,"ext-link","nlm-citation","10.1051/0004-6361:20031768","
<person-group person-group-type=""author"">
<name><",2010,"The Astronomical Journal","The American Astronomical Society"
"2","RADMC-3D","aj_140_3_887.xml","aj348933, ANJOAA, 10.1088/0004-6256/140/3/887, 348933","10.1051/0004-6361:20031768",1,"ext-link","nlm-citation","10.1051/0004-6361:20031768","
<person-group person-group-type=""author"">
<name>
",2010,"The Astronomical Journal","The American Astronomical Society"
"3","RADMC-3D","aj_152_6_222.xml","ajaa342c, 10.3847/1538-3881/152/6/222, aa342c, AAS00467","10.1051/0004-6361:20031768",1,"pub-id","element-citation","10.1051/0004-6361:20031768","
<person-group person-group-type=""author"">
<name>
",2016,"The Astronomical Journal","The American Astronomical Society"
"4","RADMC-3D","aj_154_1_16.xml","ajaa7578, 10.3847/1538-3881/aa7578, aa7578, AAS02740","10.1051/0004-6361:20031768",1,"pub-id","element-citation","10.1051/0004-6361:20031768","
<person-group person-group-type=""author"">
<name>
",2017,"The Astronomical Journal","The American Astronomical Society"
"5","RADMC-3D","apj_693_2_1209.xml","apj291809, ASJOAB, 10.1088/0004-637X/693/2/1209, 291809","10.1051/0004-6361:20031768",1,"ext-link","nlm-citation","10.1051/0004-6361:20031768","
<person-group person-group-type=""author"">
<name><",2009,"The Astrophysical Journal","The American Astronomical Society"
"6","RADMC-3D","apj_693_2_1290.xml","apj300722, ASJOAB, 10.1088/0004-637X/693/2/1290, 300722","10.1051/0004-6361:20031768",1,"ext-link","nlm-citation","10.1051/0004-6361:20031768","
<person-group person-group-type=""author"">
<name>
",2009,"The Astrophysical Journal","The American Astronomical Society"
"7","RADMC-3D","apj_695_2_1024.xml","apj300251, ASJOAB, 10.1088/0004-637X/695/2/1024, 300251","10.1051/0004-6361:20031768",1,"ext-link","nlm-citation","10.1051/0004-6361:20031768","
<person-group person-group-type=""author"">
<name>
",2009,"The Astrophysical Journal","The American Astronomical Society"
"8","RADMC-3D","apj_697_1_557.xml","apj300672, ASJOAB, 10.1088/0004-637X/697/1/557, 300672","10.1051/0004-6361:20031768",1,"ext-link","nlm-citation","10.1051/0004-6361:20031768","
<person-group person-group-type=""author"">
<name><",2009,"The Astrophysical Journal","The American Astronomical Society"
"9","RADMC-3D","apj_699_2_1822.xml","apj304757, ASJOAB, 10.1088/0004-637X/699/2/1822, 304757","10.1051/0004-6361:20031768",1,"ext-link","nlm-citation","10.1051/0004-6361:20031768","
<person-group person-group-type=""author"">
<name><",2009,"The Astrophysical Journal","The American Astronomical Society"
"10","RADMC-3D","apj_700_2_1502.xml","apj308794, ASJOAB, 10.1088/0004-637X/700/2/1502, 308794","10.1051/0004-6361:20031768",1,"ext-link","nlm-citation","10.1051/0004-6361:20031768","
<person-group person-group-type=""author"">
<name><",2009,"The Astrophysical Journal","The American Astronomical Society"
