Software_Package,Pub_Year,File_Name
AstroBlend,2016,1
Astropy,2012,1
Astropy,2013,3
Astropy,2014,37
Astropy,2015,63
Astropy,2016,117
Astropy,2017,199
Astropy,2018,118
RADMC-3D,2004,1
RADMC-3D,2005,1
RADMC-3D,2006,1
RADMC-3D,2007,4
RADMC-3D,2008,4
RADMC-3D,2009,14
RADMC-3D,2010,19
RADMC-3D,2011,13
RADMC-3D,2012,23
RADMC-3D,2013,15
RADMC-3D,2014,13
RADMC-3D,2015,28
RADMC-3D,2016,29
RADMC-3D,2017,37
RADMC-3D,2018,12
SAOImage DS9,1997,1
SAOImage DS9,1998,3
SAOImage DS9,1999,1
SAOImage DS9,2000,2
SAOImage DS9,2001,1
SAOImage DS9,2002,2
SAOImage DS9,2003,2
SAOImage DS9,2004,5
SAOImage DS9,2005,7
SAOImage DS9,2006,12
SAOImage DS9,2007,20
SAOImage DS9,2008,17
SAOImage DS9,2009,28
SAOImage DS9,2010,28
SAOImage DS9,2011,24
SAOImage DS9,2012,34
SAOImage DS9,2013,33
SAOImage DS9,2014,25
SAOImage DS9,2015,26
SAOImage DS9,2016,23
SAOImage DS9,2017,29
SAOImage DS9,2018,18
Spec2d,2002,1
Spec2d,2003,2
Spec2d,2004,4
Spec2d,2005,4
Spec2d,2006,13
Spec2d,2007,16
Spec2d,2008,11
Spec2d,2009,17
Spec2d,2010,12
Spec2d,2011,25
Spec2d,2012,25
Spec2d,2013,24
Spec2d,2014,29
Spec2d,2015,39
Spec2d,2016,41
Spec2d,2017,30
Spec2d,2018,11
Stingray,2018,2
TARDIS,2015,1
TARDIS,2016,2
TARDIS,2017,1
WCSTools,1998,1
WCSTools,1999,1
WCSTools,2001,3
WCSTools,2002,5
WCSTools,2003,3
WCSTools,2004,6
WCSTools,2005,6
WCSTools,2006,6
WCSTools,2007,9
WCSTools,2008,4
WCSTools,2009,7
WCSTools,2010,18
WCSTools,2011,12
WCSTools,2012,14
WCSTools,2013,9
WCSTools,2014,3
WCSTools,2015,6
WCSTools,2016,3
WCSTools,2017,6
WCSTools,2018,1
